module_id,safe_folder,lesson_id,lesson_title,grades,competencies,slug
How_to_Become_Mindful_2023,How_to_Become_Mindful_2023,7285,How to Become Mindful When Your Mind is Full,Grade 6,self awareness,rm_how_to_become_mindful_when_your_mind_is_full
How_to_Break_Down_Large_Tasks_2023,How_to_Break_Down_Large_Tasks_2023,7556,How to Break Down Large Tasks,Grade 6,self management,rm_executive_functions_how_to_break_down_large_tasks
How_to_Handle_Bullying_G6_2023,How_to_Handle_Bullying_G6_2023,2611,How to Handle Bullying,Grade 6,social awareness,rm_how_to_handle_a_bully
How_to_Have_Positive_Family_Relationships_G5_V030124,How_to_Have_Positive_Family_Relationships_G5_V030124,6566,Harmony at Home: How to Have Positive Family Relationships,Grade 5,social awareness,rm_cant_live_with_them_cant_live_without_them
How_to_Reach_Your_Goals_G6_2023,How_to_Reach_Your_Goals_G6_2023,4971,How to Reach Your Goals,Grade 6,self management,rm_how_to_reach_your_goals
How_to_Resolve_Conflict_G3_2023,How_to_Resolve_Conflict_G3_2023,9374,How to Resolve a Conflict,Grade 3,relationship skills,rm_how_to_resolve_a_conflict
How_to_Unwind_Busy_Mind_G9_2023,How_to_Unwind_Busy_Mind_G9_2023,7546,How to Unwind a Busy Mind,Grade 9,self awareness,rm_practicing_mindfulness
How_to_Work_on_Teams_Effectively_2023,How_to_Work_on_Teams_Effectively_2023,6912,How to Work on Teams Effectively,Grade 6,relationship skills,rm_how_to_work_on_teams_effectively
How_to_Work_Well_in_Groups_G2_2023,How_to_Work_Well_in_Groups_G2_2023,6936,How to Work Well in Groups,Grade 6,,rm_how_to_work_well_in_groups
How_Tolerant_Am_I_V022124,How_Tolerant_Am_I_V022124,6509,How Tolerant Am I?,Grade 8,social awareness,rm_how_tolerant_am_i
How_We_Feel_and_Why_GK_2023,How_We_Feel_and_Why_GK_2023,10128,How We Feel and Why,Preschool,self awareness,how_we_feel_and_why_1
Hula_Hooping_My_Own_Personal_Space_2023,Hula_Hooping_My_Own_Personal_Space_2023,8895,Hula Hooping in My Own Personal Space,Grade 1,relationship skills,rm_hula_hooping_in_my_own_personal_space
I_Can_Be_a_Good_Friend_2023,I_Can_Be_a_Good_Friend_2023,9380,I Can Be A Good Friend,Grade 2,relationship skills,rm_how_to_be_a_good_friend_11
I_Can_Do_Well_GK_2023,I_Can_Do_Well_GK_2023,7976,I Can Do Well,Grade K,self management,rm_i_can_do_well_1_1
I_Can_Do_Well_GK_2023,I_Can_Do_Well_GK_2023,10121,I Can Do Well,Preschool,self management,i_can_do_well_1_1_1
I_Control_My_Words_G2_2023,I_Control_My_Words_G2_2023,8152,I Control My Words and Actions: Driving My Behavior Car,Grade 2,self management,rm_i_control_my_words_and_actions_driving_my_behavior_car
I_Didnt_Reach_My_Goal_2023,I_Didnt_Reach_My_Goal_2023,4907,I Didn&#039;t Reach My Goal! What Now?,Grade 7,self management,rm_i_didnt_reach_my_goal_what_now
I_Just_Have_to_Say_It_2023,I_Just_Have_to_Say_It_2023,4876,I Just Have to Say It!,Grade 3,social awareness,rm_i_just_have_to_say_it
If_You_Cant_Say_Something_Nice_2023,If_You_Cant_Say_Something_Nice_2023,6074,If You Can&#039;t Say Something Nice To Yourself,Grade 3,self awareness,rm_if_you_cant_say_something_nice_to_yourself
Im_Responsible_for_What_IDo_and_Say_2023,Im_Responsible_for_What_IDo_and_Say_2023,4985,I&#039;m Responsible for What I Do and Say,Grade 7,self management,rm_im_responsible_for_what_i_do_and_say
Importance_of_a_Reputation_G7_2023,Importance_of_a_Reputation_G7_2023,3824,Importance of a Reputation: Building Your Brand,Grade 7,social awareness,rm_importance_of_a_reputation_building_your_brand
Improving_Frustration_Tolerance_G5_2023,Improving_Frustration_Tolerance_G5_2023,8981,Improving Frustration Tolerance - How to Persevere,Grade 5,self management,rm_improving_frustration_tolerance_how_to_persevere
Is_Fair_Always_Equal_2023,Is_Fair_Always_Equal_2023,9319,Is Fair Always Equal?,Grade 2,social awareness,rm_is_fair_always_equal
Is_My_Anger_Getting_the_Best_of_Me_G2_2023,Is_My_Anger_Getting_the_Best_of_Me_G2_2023,4870,Is My Anger Getting the Best of Me?,Grade 7,self management,rm_is_my_anger_getting_the_best_of_me
It_Takes_Your_WHOLE_Body_to_Listen_Well_G1_2023,It_Takes_Your_WHOLE_Body_to_Listen_Well_G1_2023,8081,It Takes Your WHOLE Body to Listen Well!,Grade 1,relationship skills,rm_it_takes_your_whole_body_to_listen_well
School_Pride_G3_5_2022_V032724,School_Pride_G3_5_2022_V032724,19502,School Pride Grades 3-5,Grade 3; Grade 4; Grade 5,,school_pride_3_5
School_Pride_G3_5_2022_V032724,School_Pride_G3_5_2022_V032724,24971,School Pride Grades 3-5,Grade 3; Grade 4; Grade 5,social awareness,school_pride_3_5_1
School_Pride_G68_2022_V022924,School_Pride_G68_2022_V022924,19484,School Pride:  Contributing to the Common Good at School,Grade 6; Grade 7; Grade 8,,school_pride__contributing_to_the_common_good_at_school
School_Pride_G68_2022_V022924,School_Pride_G68_2022_V022924,24988,School Pride:  Contributing to the Common Good at School,Grade 6; Grade 7; Grade 8,social awareness,school_pride__contributing_to_the_common_good_at_school_1_1
School_Pride_GK-2_2022,School_Pride_GK-2_2022,19493,School Pride Grades K-2,Grade K; Grade 1; Grade 2,,school_pride
School_Pride_GK-2_2022,School_Pride_GK-2_2022,24980,School Pride Grades K-2,Grade K; Grade 1; Grade 2,social awareness,school_pride_1
SEL_Wrap_Up_3-5_2023_V2,SEL_Wrap_Up_3-5_2023_V2,15290,Wrap Up Lesson Grades 3-5,Grade 3; Grade 4; Grade 5,relationship skills; responsible decision making; self awareness; self management; social awareness,wrap_up_lessonactivity3
SEL_Wrap_Up_K-2_2023_V3,SEL_Wrap_Up_K-2_2023_V3,14834,Wrap Up Lesson Grades K-2,Grade K; Grade 1; Grade 2,relationship skills; responsible decision making; self awareness; self management; social awareness,wrap_up_lessonactivity0
Steg_Starts_School_V3,Steg_Starts_School_V3,25843,Starting School,Preschool,,steg_starts_school_pk
Stereotypes_G5_2022_V031424,Stereotypes_G5_2022_V031424,17010,Stereotypes,Grade 5,,rm_saexamining_bias5
Training_for_a_Career_G1_2022,Training_for_a_Career_G1_2022,8840,Training for a Career,Grade 1,social awareness,rm_from_college_to_career
Using_Design_Thinking_to_Solve_Problems_G2_2023,Using_Design_Thinking_to_Solve_Problems_G2_2023,7038,Using Design Thinking to Solve Problems,Grade 5,responsible decision making,rm_how_to_problem_solve_like_a_penguin
Vote_Doing_Your_Civic_Duty_G12_2023_V040524,Vote_Doing_Your_Civic_Duty_G12_2023_V040524,19808,VOTE: Doing Your Civic Duty,Grade 12,self awareness,vote_doing_your_civic_duty
What_are_Relationship_Skills_G9-12_2022_V061224,What_are_Relationship_Skills_G9-12_2022_V061224,16155,What are  Relationships Skills?,Grade 10; Grade 11; Grade 12; Grade 9,,rm_what_are__relationships_skills_
Wrap Up Lesson 6-8 Final,Wrap_Up_Lesson_6-8_Final,15717,Wrap Up Lesson Grades 6-8,Grade 6; Grade 7; Grade 8,relationship skills; responsible decision making; self awareness; self management; social awareness,wrap_up_lessonactivity6
Wrap Up Lesson 9-12 Final_V3,Wrap_Up_Lesson_9-12_Final_V3,16189,Wrap Up Lesson Grades 9-12,Grade 10; Grade 11; Grade 12; Grade 9,relationship skills; responsible decision making; self awareness; self management; social awareness,wrap_up_lessonactivity9
