page,title,nid,file_id,filename,alt,uses_elsewhere,confidence,why,src
"/highmobility","Resources for Highly Mobile Students","","51103","School & Student Supports - Highly Mobile Populations Banner.png","Banner placeholder","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/School%20%26%20Student%20Supports%20-%20Highly%20Mobile%20Populations%20Banner.png"
"/hotlunchsummer","Summer Food Service Program (SFSP)","","33664","Summer.png","Summer Food Service Program banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Summer.png"
"/innovation","Office of Innovation","","31051","Innovation Banner_0.png","Innovation Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Innovation%20Banner_0.png"
"/innovation/climateeducation/climateseal","Maine Seal of Climate Literacy","","53883","Climate Education - Seal of Climate Literacy Banner.png","Climate Literacy Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Climate%20Education%20-%20Seal%20of%20Climate%20Literacy%20Banner.png"
"/innovation/climateeducation/literacyplan","Maine Environmental & Climate Literacy Plan","","43983","Climate Education - Maine Environmental & Climate Literacy Plan Banner.png","Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Climate%20Education%20-%20Maine%20Environmental%20%26%20Climate%20Literacy%20Plan%20Banner.png"
"/innovation/greenschools","Green Schools Program","","50761","Green Schools - Home Banner.png","Green schools banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Green%20Schools%20-%20Home%20Banner.png"
"/innovation/MaineOutdoorLearning","Maine Outdoor Learning Initiative","","43681","Outdoor Education - MOLI Homepage Banner.png","MOLI banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Outdoor%20Education%20-%20MOLI%20Homepage%20Banner.png"
"/innovation/rrev/data","RREV Data & Reporting","","38517","RREV - Data & Reporting Web Banner.png","RREV Data and Reporting Web Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/RREV%20-%20Data%20%26%20Reporting%20Web%20Banner.png"
"/innovation/rrev/history","RREV History","","38519","RREV - History.png","RREV History Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/RREV%20-%20History.png"
"/innovation/rrev/research","RREV Research & Support","","38523","RREV - Research & Support.png","RREV Research &amp; Support Web Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/RREV%20-%20Research%20%26%20Support.png"
"/innovation/wabanakistudies","Wabanaki Studies","","52283","Wabanki (1).png","Wabanaki Studies Banner - Sunset over ridge","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Wabanki%20%281%29.png"
"/innovation/wabanakistudies/resources","Wabanaki Studies - Resources","","38365","Wabanaki Studies - Resources Website Banner.png","Wabanaki Studies Web Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Wabanaki%20Studies%20-%20Resources%20Website%20Banner.png"
"/innovativeresearch","Innovative Research and Design","","49113","Innovative R&D - Homepage Banner.png","homepage banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Innovative%20R%26D%20-%20Homepage%20Banner.png"
"/learning/adulted/contact","Adult Education Contact","","47473","Contact Us Website Banner.png","Contact Us banner","12","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Contact%20Us%20Website%20Banner.png"
"/learning/civics","Civics","","49001","Arts & Humanities Hub - Civics Website Banner.png","Civics Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Arts%20%26%20Humanities%20Hub%20-%20Civics%20Website%20Banner.png"
"/learning/content/new","The Learning Hub","","53725","Content & Standards - The Learning Hub Banner - 6.25.2026.png","Learning Hub Banner","1","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Content%20%26%20Standards%20-%20The%20Learning%20Hub%20Banner%20-%206.25.2026.png"
"/learning/content/world-language/biliteracy","Maine Seal of Biliteracy","","52243","Biliteracy (1).jpg","Biliteracy Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Biliteracy%20%281%29.jpg"
"/learning/cte","Career and Technical Education","","34014","CTE Banner.png","CTE Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/CTE%20Banner.png"
"/learning/cte/contact","Career & Technical Education (CTE) Contact","","47473","Contact Us Website Banner.png","Contact Us banner","12","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Contact%20Us%20Website%20Banner.png"
"/learning/cte/regulations","Regulations & Funding","","44677","CTE - Regulation & Funding Banner.png","Regulations Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/CTE%20-%20Regulation%20%26%20Funding%20Banner.png"
"/learning/cte/resources","Resources - Career and Technical Education","","51655","CTE - Resources Banner.png","CTE Resource Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/CTE%20-%20Resources%20Banner.png"
"/learning/cte/schools","Schools & Programs","","51653","CTE - Schools & Programs Banner.png","CTE Schools and programs banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/CTE%20-%20Schools%20%26%20Programs%20Banner.png"
"/learning/earlychildhood","Early Learning","","","Early Learning Homepage Banner.png","Early Learning Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Early Learning Homepage Banner.png"
"/learning/earlychildhood/1stgradeforme","1st Grade for ME","","46231","Early Learning - 1st Grade for ME Homepage Banner.png","1st Grade for ME banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Early%20Learning%20-%201st%20Grade%20for%20ME%20Homepage%20Banner.png"
"/learning/earlychildhood/first10","First 10: Schools and Communities in Maine","","42637","Early Learning - First 10 Schools Homepage Banner.png","First 10 Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Early%20Learning%20-%20First%2010%20Schools%20Homepage%20Banner.png"
"/learning/earlychildhood/first10/faq","First 10 Schools and Communities FAQ's","","42643","Early Learning - First 10 FAQs Banner.png","First 10 FAQ banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Early%20Learning%20-%20First%2010%20FAQs%20Banner.png"
"/learning/earlychildhood/headstart/grantees","Maine Head Start Grantees","","51643","Early Learning - Maine Head Start Grantees Banner.png","Grantees Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Early%20Learning%20-%20Maine%20Head%20Start%20Grantees%20Banner.png"
"/learning/earlychildhood/instructionalprogramming","For ME Instructional Programming","","47145","Early Learning - For ME Instructional Programming Banner.png","for me banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Early%20Learning%20-%20For%20ME%20Instructional%20Programming%20Banner.png"
"/learning/earlychildhood/K4ME/supportingdocs","K for ME - Supporting Documents","","37651","K for ME - Supporting Documents.png","K for ME Supporting Documents Website Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/K%20for%20ME%20-%20Supporting%20Documents.png"
"/learning/earlychildhood/K4ME/supportingdocs","K for ME - Supporting Documents","","37649","K for ME - Supporting Documents - Introduction.png","K for ME Introduction Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/K%20for%20ME%20-%20Supporting%20Documents%20-%20Introduction.png"
"/learning/earlychildhood/pkexpansiongrant","Preschool Expansion Grants","","51637","Early Learning - Pre-Kindergarten Expansion Grants Banner.png","PreK Expansion Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Early%20Learning%20-%20Pre-Kindergarten%20Expansion%20Grants%20Banner.png"
"/learning/earlychildhood/PreK4ME","Pre K For ME","","45537","Early Learning - Pre K for ME Homepage Banner.png","Pre K for ME Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Early%20Learning%20-%20Pre%20K%20for%20ME%20Homepage%20Banner.png"
"/learning/earlychildhood/publicpreschool","Public Preschool","","52267","EL - Public Preschool (1).png","Public Preschool Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/EL%20-%20Public%20Preschool%20%281%29.png"
"/learning/earlychildhood/resources","Early Learning - Professional Learning & Resources","","46693","Early Learning - Professional Learning & Resources Banner.png","Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Early%20Learning%20-%20Professional%20Learning%20%26%20Resources%20Banner.png"
"/learning/earlychildhood/solutionslab","Early Learning Solutions Lab","","52877","Early Learning - Solutions Lab Banner.png","solutions lab banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Early%20Learning%20-%20Solutions%20Lab%20Banner.png"
"/learning/earlychildhood/standards","Maine's Learning Standards (MELDS)","","52327","Early Learning - Learning Standards (MELDS) Banner.png","MELDS Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Early%20Learning%20-%20Learning%20Standards%20%28MELDS%29%20Banner.png"
"/learning/earlychildhood/transitions","Transitioning into Kindergarten","","33813","EL - Transition to K.png","Transition Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/EL%20-%20Transition%20to%20K.png"
"/learning/earlychildhood/transitions/modules","Transitioning into Kindergarten - Professional Development Modules","","35619","Early Learning - Transitioning into kindergarten.png","Transitioning into Kindergarten Modules Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Early%20Learning%20-%20Transitioning%20into%20kindergarten.png"
"/learning/earlylearning/contact","Early Learning Contact","","47473","Contact Us Website Banner.png","Contact Us banner","12","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Contact%20Us%20Website%20Banner.png"
"/learning/earlylearning/instructionalprogramming/2ndgradeforme","2nd Grade for ME","","45563","Early Learning - 2nd Grade for ME Homepage Banner.png","2nd Grade for ME banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Early%20Learning%20-%202nd%20Grade%20for%20ME%20Homepage%20Banner.png"
"/learning/elo","Extended Learning Opportunities","","41847","Extended Learning - Homepage Website Banner.jpg","Extended Learning Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Extended%20Learning%20-%20Homepage%20Website%20Banner.jpg"
"/learning/elo/resources","Extended Learning Resources","","39551","Extended Learning Opportunities - Resources Website Banner.png","Extended Learning Resource Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Extended%20Learning%20Opportunities%20-%20Resources%20Website%20Banner.png"
"/learning/esea/contact","ESEA Federal Programs Contact","","47473","Contact Us Website Banner.png","Contact Us banner","12","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Contact%20Us%20Website%20Banner.png"
"/learning/esea/resources","ESEA State Resources","","42365","Federal Programs - ESEA Resources Banner.png","ESEA Resources Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Federal%20Programs%20-%20ESEA%20Resources%20Banner.png"
"/learning/ffa","Maine FFA Association","","51501","FFA - Home Banner.png","Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/FFA%20-%20Home%20Banner.png"
"/learning/ffa/resources","FFA Forms & Resources","","51659","FFA - Forms & Resources Banner.png","Forms","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/FFA%20-%20Forms%20%26%20Resources%20Banner.png"
"/learning/ffa/winners","Maine FFA Award Winners","","51657","FFA - Awards Banner.png","Awards Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/FFA%20-%20Awards%20Banner.png"
"/learning/financialliteracy","Financial Literacy","","54055","Interdisciplinary Instruction - Financial Literacy - Financial Literacy Banner - 7.31.2026.jpg","Financial Literacy Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Interdisciplinary%20Instruction%20-%20Financial%20Literacy%20-%20Financial%20Literacy%20Banner%20-%207.31.2026.jpg"
"/learning/II","Interdisciplinary Instruction","","49009","Interdisciplinary Instruction - Homepage Banner.png","II banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Interdisciplinary%20Instruction%20-%20Homepage%20Banner.png"
"/learning/II/ConCEPT/menu/dispositions","A Culture of Dispositions","","51893","Interdisciplinary Instruction - A Culture of Dispositions.jpg","culture of dispositions banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Interdisciplinary%20Instruction%20-%20A%20Culture%20of%20Dispositions.jpg"
"/learning/II/ConCEPT/menu/PBLInquiry","Project Based Learning and Inquiry","","51891","Interdisciplinary Instruction - Project Based Learning and Inquiry.jpg","PBL Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Interdisciplinary%20Instruction%20-%20Project%20Based%20Learning%20and%20Inquiry.jpg"
"/learning/II/ConCEPT/questions","Using Student Questions in Instruction","","39237","Interdisciplinary Instruction - using student questions in instructionbanner.png","student raising their hand in class","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Interdisciplinary%20Instruction%20-%20using%20student%20questions%20in%20instructionbanner.png"
"/learning/II/conceptualquestions","Conceptual Questions","","52041","Interdisciplinary Instruction - Conceptual Question Banner.jpg","CQ Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Interdisciplinary%20Instruction%20-%20Conceptual%20Question%20Banner.jpg"
"/learning/II/conceptualunderstandings","Conceptual Understandings","","51979","Interdisciplinary Instruction - Conceptual Understandings Banner.jpg","banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Interdisciplinary%20Instruction%20-%20Conceptual%20Understandings%20Banner.jpg"
"/learning/II/contact","Interdisciplinary Instruction Contact","","43991","Contact Us Banner.png","Contact Us Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Contact%20Us%20Banner.png"
"/learning/II/engagement","Continuum of Engagement","","52017","Interdisciplinary Instruction - Continuum of Engagement Banner.jpg","Continuum Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Interdisciplinary%20Instruction%20-%20Continuum%20of%20Engagement%20Banner.jpg"
"/learning/II/foundations","Foundational Skills","","51899","Interdisciplinary Instruction - Foundational Skills Banner.jpg","Foundational Skills Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Interdisciplinary%20Instruction%20-%20Foundational%20Skills%20Banner.jpg"
